,mean_a,var_a,mean_b,var_b,t_value,p_value
Clout,27.36793103448276,894.8504307320027,37.78053333333334,1316.7532645765766,-1.7690054504334616,0.07922012761077686
Tone,65.65741379310346,1515.0749072292801,53.57986666666667,1454.5115824144143,1.7948990389873645,0.0749755596606194
WPS,11.117758620689656,41.59218611615246,10.877733333333332,83.45780695495496,0.16994717259155318,0.8653138563381433
adverb,7.216724137931035,85.16939083484573,6.1456,68.80217362162162,0.7030232412759982,0.4832887721875957
negate,1.7601724137931034,16.94868944343618,1.0224000000000002,15.299199567567568,1.054269795133443,0.2937000082133745
adj,6.078965517241379,61.151184875983056,6.654133333333333,127.42134079279279,-0.3312876488073972,0.7409565808985901
tone_neg,0.8144827586206896,9.695544464609803,0.44093333333333334,3.7036842522522515,0.8504007917544035,0.39665393744449584
emo_anx,0.45879310344827584,7.2128774652147625,0.0,0.0,1.4810838004702727,0.14098549772630484
emo_sad,0.0,0.0,0.0,0.0,,nan
Cognition,14.605689655172414,112.09636530550515,13.437599999999998,134.80563470270272,0.5976833697217543,0.5510830205454273
discrep,1.9374137931034483,13.416563369630973,2.0557333333333334,15.108484252252248,-0.1784892521349923,0.858614498231387
tentat,3.826206896551724,47.83881343012705,2.774666666666667,34.12778738738738,0.9497447099658682,0.3439908591861828
differ,4.619655172413792,53.99806654567453,3.4018666666666664,50.67297754954955,0.964693661457844,0.3364757449330914
Perception,6.453275862068965,80.36109960677555,11.497066666666667,151.99596965765767,-2.624185904688792,0.009717312815172116 < 0.05
auditory,0.7472413793103448,12.105129098608591,0.36186666666666667,5.961601873873873,0.7500278632190026,0.45458284896610035
feeling,0.373448275862069,2.2360194797338178,0.4958666666666666,5.020840792792796,-0.35871776252890974,0.7203837052811849
Drives,2.798448275862069,27.66041684815487,3.7254666666666663,38.53184133333333,-0.9118827469743327,0.36350546641562564
achieve,1.5779310344827588,17.364858802177856,0.9009333333333335,14.185670738738736,0.9812414817548621,0.32828239289014494
power,0.0,0.0,0.4981333333333333,4.7760126846846855,-1.9739834176340212,0.05211659324051388
reward,0.0,0.0,0.036000000000000004,0.0972,-1.0000000000000002,0.32056931085605966
time,6.640689655172414,107.83836091954022,3.265466666666667,42.250306198198196,2.2942437384674363,0.023367649505778822 < 0.05
netspeak,2.4555172413793107,29.088586569872955,0.6289333333333333,6.588406954954953,2.581193472120647,0.010946306133496331 < 0.05
