Community,Id,Request,Score1,Score2,Score3,Score4,Score5,TurkId1,TurkId2,TurkId3,TurkId4,TurkId5,Normalized Score
092011 Stack Overflow,3210318,"Can you explain more in detail, what should I sddelat? Allocate a job? How?",12,16,15,16,13,A33SMNMTMIOJ6T,A2OXXHGAM7B0Y,A28TXBSZPWMEU9,A3EJ5TT2ZGBIDA,A3OY0OL2M0HUTT,0.2173258579690632
092011 Stack Overflow,1314703,"Will expressions always be unambiguously parenthesized like that, so you don't have to deal with precedence? Or is `X OR Y AND Z` allowed?",13,13,18,14,12,A1UIH2IMG9DV95,A23FB7HE970AZJ,A17G2LOYX7WQZ,A2BKPNKU3EG41Z,A3L459M9ME6WKI,0.0633015856189218
092011 Stack Overflow,4740262,how are you resolving function pointers? I am also writing similar kind of program but still wondering how i will resolve function pointers?,13,15,17,13,17,A1BS64O3JY0YJ4,A2AE4MZVUX9JPX,ARJ44YPGA2FPK,A14TK8NCD4CUN1,A17G2LOYX7WQZ,0.1289016154366866
092011 Stack Overflow,6972808,What is the definition of `buffer`? Is it a local variable?,13,13,13,13,19,A3VJDU2VRMN05L,A1ZHP80O13CEUI,A28TXBSZPWMEU9,A3MMLCBV2W3BP9,A2BKPNKU3EG41Z,0.2401875623858396
092011 Stack Overflow,5269106,Is `A` a global variable?  What is x?,17,18,16,16,13,A3OW54MEVDKXJL,A2RDZ580VXUO1X,A872FSFU7WV6W,A1HBDQ0BJQBA4Q,A34M93NJC830DP,0.508284429339352
092011 Stack Overflow,7118357,This is a very confusing question!  How are you compiling your C programs?,16,14,1,14,9,A2WKPCZU4U110T,A1BS64O3JY0YJ4,A2USG66RL7MM4E,AYG3MF094634L,A1G05O3HM7DNVZ,-0.3936231391468775
092011 Stack Overflow,5245510,Why not using `isnan()` from math.h? Any specially reason?,7,20,15,7,13,AL97SCCNKZILP,A3E157ZN8XPUKJ,A2OTEOJC764LEP,A14TK8NCD4CUN1,A2GSW5RBAT5LQ5,-0.6897009807005448
092011 Stack Overflow,7628452,@Foon I just know that to compile in Linux I do gcc or g++ and in Solaris I do cc. Or am I wrong about it?,13,9,15,17,18,A416CQ0FIDNFT,A3OW54MEVDKXJL,A28TXBSZPWMEU9,A3MMLCBV2W3BP9,A1KC138MX47DXA,0.1788190197643989
092011 Stack Overflow,7907868,do you want to send the 32bit number in binary form? or in ascii?,17,13,17,13,13,A2AE4MZVUX9JPX,AYG3MF094634L,ARYGQ46IMW8AU,A3K2Y59JJBDXMD,A1IMICF9ISISZN,0.2030209688370864
092011 Stack Overflow,6009803,Does your project involve some graphical user interface? What do you want to code?,17,13,17,15,18,A2UFD1I8ZO1V4G,A3MMLCBV2W3BP9,APWXTMJO1I1ST,A2BKPNKU3EG41Z,A2WGBPEN45GJNF,0.5193977291601419
