Request,Politeness
"Is `A` a global variable? What is x?",1
"This is a very confusing question! How are you compiling your C programs?",0
"Why not using `isnan()` from math.h? Any specially reason?",0
"Does your project involve some graphical user interface? What do you want to code?",1
"Usually compilers should generate a good code for such algorithms. Did you check what assembly a C compiler is generating?",1
"Cant see the error ? You mean your compiler crashes as badly on this code that you even can't tell us what he is complaining about?",0
"You want to compress strings from argv, really? Or do you mean you want to treat argv's elements as names of files to compress, like gzip the program does?",0
"BTW you typo'd the declaration of `bytes_read`. And what on earth is incertitude?",0
"Too vague - explain what you expect the contents of the array to be afterwards - give a concrete example. Possibly also needs a homework tag ?",0
"@omri yes you are right... I have applied the logic acc. to what I thought is right if somebody could tell me what's wrong I have done ?????",0
"Please specify the platform you are compiling on, and also specify the command line options to the compiler that you're using. Is `-std=c99` one of the options, for example?",1
"You could have forgotten an include that defined a type, forgotten a smicolon, lots of things. Can you paste the code 10 lines before and after the location that the error indicates?",1
"The nth letter? Is this the Roman version of the Fibonacci sequence?",0
"I'm always amazed at how many questions are similar to this. Are people itching to write code like this?",0
"Good question, worded poorly. Might want to try rephrasing it?",0
"no way! can you show us the entire loop?",1
"Generally, I'd anticipate a code bug. Can you paste in your FD_SET and your select calls please?",1
"Why is your code stored in a `.cpp` (C++) file, while the question is about C? So, what is it C++ or C?",0
"I added commentary. Does that explain what happens now?",0
"I haven't ever experience `GetClientRect` returning anything but the full client rectangle, no matter what overlaps it or if it is fully on-screen. Are you sure?",1
"do you mean assembly code? and you want a self modifying application?",1
"remove all 0's and 1's. So if your int is 2107900000 you want to get 279?",0
"@Praetorian: You had me into tears. I agree to you but is that going to help me with my question?",0
"Wow! Trivial answer converted to comment! Is this new?",0
"I don't understand what's wrong with the standard C pre-processor. Can you clarify?",1
"why not `fprintf`? is this a homework?",0
"i can input number, number1. skips to letter2 why?",0
"You don't have any call to `fork()` in your sample program. Is this intentional?",0
"I think he is talking about the variable length arrays that were added to C in the C99 revision of the language. Is that correct aaa?",1
"how much have you studied yet? Do you want specific questions?",0
"Can we see the function that creates the output? And the output itself?",1
"Doing a redundant `atoi` after you just did `strtol` is probably the most twisted insult to the proper use of string-to-int conversion functions in C one can come up with. Why do you see the need to re-convert the value using the broken function `atoi` when you already have it as `val` from a proper function `strtol`?",0
"@Francesco: Why are you so against sharing the errors that you are seeing. Why don't you get that they are helpful?",0
"Let's talk about the error in a little bit more detail, Sergey. What is the output you get and what is the output you expect?",1
"I don't see any inherent problem with what you have done above, and it looks like no one else sees anything, either; can you post more code? How certain are you that the setfault happens at that particular waitall?",1
"Other than a missing declaration of 'ss', the code you've provided will get the address of a member of a structure. Can you provide more detail on what isn't working for you?",1
"In addition to reformatting, can you try to provide some more info? Where are you stuck, what's going wrong?",1
"Seems like a roundabout way to get an address structure to me. Why not just pass 2a00:1450:8006::68 to `getaddrinfo`?",0
"@Thanatos: Interesting, however that statement implies that there are no multibyte string encodings that have embedded null bytes? Is that correct?",1
"I see. Was it talking about that one specifically? :)",1
"By implementing square, do you mean implementing a function such that `f(x) = x^2`, or `f(x) = x`? Also, what is the precise list of operators you are not allowed to use?",1
"I've clarified the question, thanks ax. @runrunraygun: What is a community wiki?",1
"Why? 99% of the time you can convert well written C code to C++ code by just changing the compiler setting. Why not start using C++ code?",0
"Your code will result in 0.5. So what's your problem?",0
"It may be redundant in source, but is it redundant in binary? Is it a good practice to always check code like this because although all statements depend on the ones before them (in program flow), the program flow may change from any number of sources?",1
"This looks right, and works for me. What do you see?",1
"Why not K&R? Was this just an excuse to bad-mouth some books you didn't like?",0
"sorry, wasn't really thinking about a definitive question. could we just say that my question is: is my interpretation valid or does it contain some problems?",1
"What do you mean by character? The drive letter?",0
"Then you obviously have problem with your fwrite call. Could you provide the code you use?",1
"Sooo, what's the problem? Do you get an error when trying to compile the code?",0
"@sarnold It shows Number of input = 22936722 49.Can anyone rationalise this strangeness?",1
"How are `g_rx_buffer` and `BYTE` defined? What compiler are you using?",1
"Why this particular number anyway? Is that the one related to some recent bug?",0
"@Jeff OK, OK. This is how wiki works though huh?",0
"Show more declarations, what is the type of the curr_time2 variable? How is the get_time_in_seconds() function declared?",0
"Thanks, will check that out. Is there a advantage/disadvantage using setjmp/longjmp over signals as proposed below?",1
"How are you doing your shared memory? With shm_open and mmap?",1
"Who gives you such error? Did you compile your source using `proc` ?",0
"I don't think there's any optimal way to do it other than just scanning the string looking for the delimiters. Perhaps _you_ could code that yourself?",0
"@kelton52, then the problem is at compile time rather than run time. There should still be behaviour, error messages from the compiler perhaps?",1
"How does an object type change dynamically? Do you have a vehicle base blass and two derived classes: car and bike?",1
"@ David Thornley: Become a professional-grade programmer, also want participate in coding contest(Codechef, Topcoders),both have equal priorities What you suggest what kind of preparation i need to take ?",1
"I see no question here. What is your question?",0
"Nope, no sense. What's a conceptual break in this context?",0
"What sort of non-Oracle database ? Is it running on the same machine or over a network ?",1
"doing math on the file as if it were one long number sounds like a bad idea! What method is this?",0
"*lol* the war against crackers is stopping our white-hats to learn the trade. Maybe the criminals will go away when we don't know how they do it? ;)",0
"And what is the problem? Other than the missing semicolon after name[25]?",0
"The second example in your second question accesses unallocated memory. Was that on purpose?",0
"Do you want to check if it looks ok ? Do you want to check if the file exists ?",1
"They are completely different. Have you even glanced at the documentation?",0
"To quote Scott Meyers: `make`? Who needs stinkin `make`?.",0
